Light Intensity (% of scale max) Alessandra_0.16_1.5_lampadina	Position (m) Alessandra_0.16_1.5_lampadina
0.13046	-0.081267
0.13289	-0.081267
0.14758	-0.081346
0.1694	-0.081445
0.19048	-0.081543
0.22186	-0.081701
0.25299	-0.081839
0.26485	-0.081898
0.28912	-0.082095
0.30679	-0.082214
0.3203	-0.082372
0.32335	-0.082569
0.32129	-0.082667
0.3112	-0.082786
0.2999	-0.082904
0.28587	-0.082963
0.27954	-0.083003
0.27142	-0.083042
0.25195	-0.083161
0.2433	-0.08322
0.23518	-0.083259
0.21375	-0.083378
0.20425	-0.083417
0.20198	-0.083417
0.20163	-0.083417
0.20233	-0.083397
0.20137	-0.083397
0.20032	-0.083397
0.19827	-0.083397
0.19763	-0.083397
0.19745	-0.083397
0.19801	-0.083397
0.19864	-0.083397
0.19914	-0.083397
0.19887	-0.083397
0.2019	-0.083397
0.20155	-0.083397
0.19997	-0.083397
0.19897	-0.083397
0.19853	-0.083417
0.19461	-0.083437
0.17163	-0.083575
0.13463	-0.083752
0.11688	-0.083851
0.09952	-0.084009
0.08498	-0.084127
0.07759	-0.084324
0.09642	-0.08462
0.12471	-0.084818
0.15997	-0.084975
0.19449	-0.085094
0.23483	-0.085251
0.30234	-0.085488
0.40245	-0.085764
0.46698	-0.085883
0.49084	-0.085962
0.55325	-0.086218
0.58144	-0.086396
0.59123	-0.086494
0.59134	-0.086593
0.58278	-0.086711
0.57065	-0.08679
0.54204	-0.086928
0.49831	-0.087086
0.43753	-0.087263
0.33217	-0.087421
0.23434	-0.087658
0.15399	-0.087934
0.1306	-0.088131
0.12721	-0.088269
0.13181	-0.088368
0.14395	-0.088467
0.15567	-0.088506
0.18901	-0.088605
0.32857	-0.088861
0.50058	-0.089058
0.65744	-0.089236
0.92191	-0.089473
1.24438	-0.089768
1.48558	-0.090005
1.6035	-0.090124
1.68494	-0.090222
1.71291	-0.090301
1.73665	-0.09036
1.74744	-0.09036
1.73343	-0.09036
1.70844	-0.09036
1.63571	-0.090341
1.58818	-0.090341
1.59557	-0.090341
1.6042	-0.090341
1.60338	-0.090341
1.59421	-0.090341
1.62167	-0.090341
1.63982	-0.090341
1.62967	-0.090341
1.64278	-0.090341
1.63408	-0.090341
1.6266	-0.090341
1.62151	-0.090341
1.61639	-0.090341
1.63184	-0.090341
1.62299	-0.090341
1.62204	-0.090341
1.65034	-0.09036
1.67036	-0.0904
1.64699	-0.090597
1.50851	-0.090893
1.31844	-0.09111
1.08784	-0.091327
0.87457	-0.091504
0.63994	-0.091702
0.44464	-0.091938
0.37845	-0.092096
0.40152	-0.092254
0.90897	-0.09251
1.62253	-0.092747
2.7121	-0.092964
4.37608	-0.09324
8.4001	-0.093713
13.04294	-0.094049
18.80362	-0.094325
21.92256	-0.094542
22.93628	-0.094641
23.98277	-0.0947
25.48622	-0.094779
25.76303	-0.094798
26.1904	-0.094798
26.98938	-0.094858
28.15688	-0.094976
29.42633	-0.095055
31.26268	-0.095213
35.23917	-0.09543
37.40733	-0.095627
38.62549	-0.095824
39.63512	-0.095982
40.85031	-0.096179
40.95119	-0.096455
40.50461	-0.096613
37.6172	-0.096771
35.56483	-0.097008
34.89951	-0.097008
34.33955	-0.096988
33.57343	-0.096988
33.01846	-0.096988
33.0583	-0.096988
33.04776	-0.096988
33.12816	-0.096988
33.02823	-0.096988
33.14433	-0.096988
33.12587	-0.096988
33.20068	-0.096988
33.25815	-0.096988
33.25105	-0.096988
33.22429	-0.096988
33.13757	-0.096988
33.3047	-0.096988
33.12662	-0.096988
33.06065	-0.096988
33.34734	-0.096988
33.30023	-0.096988
33.49817	-0.096988
34.01553	-0.096988
34.68452	-0.096988
34.84834	-0.096988
34.87117	-0.097008
34.84589	-0.097047
32.86128	-0.097185
30.52432	-0.097402
27.57233	-0.097639
23.51176	-0.097915
17.92375	-0.098152
14.27879	-0.098428
10.94096	-0.098684
7.75916	-0.09896
4.96162	-0.099256
2.34331	-0.099513
1.21448	-0.099809
0.74709	-0.100006
0.54369	-0.100183
0.49535	-0.100341
0.5614	-0.100519
0.74654	-0.100716
1.01711	-0.100933
1.26563	-0.101091
1.62749	-0.101288
1.84677	-0.101525
1.97696	-0.101722
2.03021	-0.10188
1.98793	-0.102116
1.86227	-0.102373
1.63374	-0.102649
1.19606	-0.102905
1.01204	-0.103083
0.83775	-0.103221
0.65321	-0.103398
0.5719	-0.103438
0.5656	-0.103438
0.56604	-0.103438
0.56769	-0.103438
0.57051	-0.103438
0.56639	-0.103438
0.55946	-0.103438
0.54524	-0.103438
0.5421	-0.103438
0.54179	-0.103438
0.54166	-0.103438
0.54292	-0.103438
0.53958	-0.103438
0.53865	-0.103438
0.54892	-0.103438
0.55096	-0.103438
0.54535	-0.103438
0.54031	-0.103438
0.52875	-0.103438
0.44093	-0.103517
0.28618	-0.103754
0.22725	-0.103872
0.19145	-0.10401
0.19188	-0.104227
0.24715	-0.104464
0.35385	-0.10472
0.4828	-0.104957
0.58395	-0.105134
0.66495	-0.105272
0.73865	-0.10545
0.7998	-0.105608
0.84521	-0.105765
0.86559	-0.105982
0.84058	-0.10618
0.77873	-0.106377
0.66502	-0.106614
0.55203	-0.106831
0.45723	-0.107008
0.36932	-0.107166
0.3018	-0.107304
0.23135	-0.107482
0.17102	-0.107659
0.13747	-0.107876
0.12695	-0.108054
0.14734	-0.108251
0.19826	-0.108468
0.25514	-0.108665
0.33311	-0.108803
0.38324	-0.108961
0.42749	-0.109079
0.45985	-0.109198
0.48531	-0.109296
0.5069	-0.109395
0.51877	-0.109513
0.52237	-0.109632
0.51793	-0.109789
0.50372	-0.109947
0.47723	-0.110085
0.43379	-0.110243
0.38747	-0.110361
0.34248	-0.110499
0.30164	-0.110638
0.26857	-0.110736
0.23262	-0.110835
0.19263	-0.110993
0.16341	-0.111091
0.12727	-0.111269
0.09961	-0.111446
0.09003	-0.111505
0.08177	-0.111663
0.07843	-0.111801
0.0811	-0.1119
0.09189	-0.112038
0.10272	-0.112156
