Time (s) intensità_laser_sole.1	Light Intensity (% of scale max) intensità_laser_sole.1
45.52	23.88763
45.56	23.89911
45.6	23.91064
45.64	23.90083
45.68	23.90025
45.72	23.90623
45.76	23.91142
45.8	23.9213
45.84	23.92734
45.88	23.92677
45.92	23.90437
45.96	23.89766
46.0	23.91019
46.04	23.91255
46.08	23.92313
46.12	23.93123
46.16	23.92467
46.2	23.92468
46.24	23.92998
46.28	23.92448
46.32	23.92284
46.36	23.92468
46.4	23.91643
46.44	23.93202
46.48	23.92375
46.52	23.92467
46.56	23.91901
46.6	23.90488
46.64	23.91623
46.68	23.91684
46.72	23.91505
46.76	23.91245
46.8	23.90695
46.84	23.91692
46.88	23.92224
46.92	23.91653
46.96	23.91147
47.0	23.91286
47.04	23.91087
47.08	23.92003
47.12	23.91609
47.16	23.91684
47.2	23.92346
47.24	23.92751
47.28	23.92763
47.32	23.92888
47.36	23.92453
47.4	23.91785
47.44	23.91087
47.48	23.91306
47.52	23.91211
47.56	23.91385
47.6	23.92204
47.64	23.9333
47.68	23.93745
47.72	23.95392
47.76	23.95837
47.8	23.94777
47.84	23.93303
47.88	23.93492
47.92	23.92926
47.96	23.92104
48.0	23.91081
48.04	23.91499
48.08	23.91321
48.12	23.9126
48.16	23.90788
48.2	23.90404
48.24	23.89905
48.28	23.89861
48.32	23.89891
48.36	23.90974
48.4	23.9068
48.44	23.91467
48.48	23.91678
48.52	23.91652
48.56	23.9156
48.6	23.90842
48.64	23.89645
48.68	23.89906
48.72	23.88838
48.76	23.88336
48.8	23.89224
48.84	23.89798
48.88	23.89256
48.92	23.88712
48.96	23.88776
49.0	23.89864
49.04	23.89612
49.08	23.90277
49.12	23.91211
49.16	23.9142
49.2	23.91324
49.24	23.91336
49.28	23.91698
49.32	23.91774
49.36	23.90889
49.4	23.91168
49.44	23.91248
49.48	23.90945
49.52	23.91118
49.56	23.91273
49.6	23.91325
49.64	23.91151
49.68	23.9048
49.72	23.89818
49.76	23.90205
49.8	23.90068
49.84	23.90086
49.88	23.90251
49.92	23.91177
49.96	23.92159
50.0	23.93242
50.04	23.93373
50.08	23.9346
50.12	23.92473
50.16	23.91415
50.2	23.91658
50.24	23.92451
50.28	23.92867
50.32	23.92566
50.36	23.93628
50.4	23.93484
50.44	23.92738
50.48	23.92349
50.52	23.92859
50.56	23.92802
50.6	23.92606
50.64	23.92368
50.68	23.92006
50.72	23.91711
50.76	23.91737
50.8	23.92119
50.84	23.91434
50.88	23.91841
50.92	23.91714
50.96	23.9086
51.0	23.90454
51.04	23.90382
51.08	23.89853
51.12	23.89566
51.16	23.8959
51.2	23.89665
51.24	23.89207
51.28	23.88959
51.32	23.89223
51.36	23.8889
51.4	23.89023
51.44	23.89908
51.48	23.89818
51.52	23.89975
51.56	23.91089
51.6	23.90936
51.64	23.909
51.68	23.9082
51.72	23.91176
51.76	23.90929
51.8	23.90733
51.84	23.90518
51.88	23.9084
51.92	23.90248
51.96	23.91043
52.0	23.90625
52.04	23.89868
52.08	23.89685
52.12	23.89882
52.16	23.89708
52.2	23.89763
52.24	23.89375
52.28	23.89952
52.32	23.89584
52.36	23.89735
52.4	23.90584
52.44	23.90161
52.48	23.90367
52.52	23.9034
52.56	23.90274
52.6	23.90308
52.64	23.90445
52.68	23.89951
52.72	23.89853
52.76	23.89885
52.8	23.89818
52.84	23.89249
52.88	23.89011
52.92	23.88873
52.96	23.89127
53.0	23.88799
53.04	23.89352
53.08	23.8949
53.12	23.8988
53.16	23.89783
53.2	23.90016
53.24	23.90578
53.28	23.90506
53.32	23.90099
53.36	23.90616
53.4	23.89951
53.44	23.89891
53.48	23.90057
53.52	23.89973
53.56	23.8999
53.6	23.89462
53.64	23.89397
53.68	23.90178
53.72	23.89342
53.76	23.89491
53.8	23.89677
53.84	23.89513
53.88	23.89267
53.92	23.88875
53.96	23.89412
54.0	23.89238
54.04	23.88303
54.08	23.89067
54.12	23.89017
54.16	23.88895
54.2	23.89021
54.24	23.88968
54.28	23.89172
54.32	23.88965
54.36	23.89282
54.4	23.89934
54.44	23.89665
54.48	23.89528
54.52	23.90234
54.56	23.89969
54.6	23.89691
54.64	23.90321
54.68	23.89719
54.72	23.89316
54.76	23.89555
54.8	23.89302
54.84	23.892
54.88	23.88506
54.92	23.88805
54.96	23.88446
55.0	23.88173
55.04	23.88446
55.08	23.88419
55.12	23.87875
55.16	23.88229
55.2	23.87962
55.24	23.88208
55.28	23.88609
55.32	23.88161
55.36	23.88913
55.4	23.88736
55.44	23.88628
55.48	23.88603
55.52	23.88496
55.56	23.88742
55.6	23.88928
55.64	23.88313
55.68	23.88792
55.72	23.88164
55.76	23.88298
55.8	23.88858
55.84	23.88281
55.88	23.88179
55.92	23.88643
55.96	23.88702
56.0	23.88811
56.04	23.88911
56.08	23.89287
56.12	23.89693
56.16	23.89209
56.2	23.8925
56.24	23.89467
56.28	23.8902
56.32	23.88792
56.36	23.88799
56.4	23.88673
56.44	23.88429
56.48	23.88159
56.52	23.88408
56.56	23.88168
56.6	23.8831
56.64	23.88037
56.68	23.88193
56.72	23.8829
56.76	23.88313
56.8	23.88614
56.84	23.88843
56.88	23.88441
56.92	23.88705
56.96	23.89124
57.0	23.88393
57.04	23.88423
57.08	23.89185
57.12	23.88213
57.16	23.88858
57.2	23.88727
57.24	23.88255
57.28	23.88586
57.32	23.8829
57.36	23.88087
57.4	23.88055
57.44	23.87767
57.48	23.87404
57.52	23.87567
57.56	23.87154
57.6	23.87016
57.64	23.87053
57.68	23.87029
57.72	23.86987
57.76	23.86752
57.8	23.87238
57.84	23.86946
57.88	23.87326
57.92	23.87485
57.96	23.87485
58.0	23.8712
58.04	23.87984
58.08	23.87776
58.12	23.87421
58.16	23.88321
58.2	23.87636
58.24	23.8838
58.28	23.88213
58.32	23.87775
58.36	23.88266
58.4	23.88188
58.44	23.87691
58.48	23.87619
58.52	23.87653
58.56	23.87753
58.6	23.87802
58.64	23.87535
58.68	23.87204
58.72	23.87601
58.76	23.87177
58.8	23.87035
58.84	23.87053
58.88	23.87239
58.92	23.86679
58.96	23.87001
59.0	23.87277
59.04	23.86516
59.08	23.8696
59.12	23.86452
59.16	23.86336
59.2	23.86826
59.24	23.86357
59.28	23.86247
59.32	23.8643
59.36	23.86424
59.4	23.85733
59.44	23.86192
59.48	23.85869
59.52	23.85777
59.56	23.85828
59.6	23.85675
59.64	23.8625
59.68	23.86176
59.72	23.86014
59.76	23.86632
59.8	23.85812
59.84	23.86333
59.88	23.86172
59.92	23.8528
59.96	23.86029
60.0	23.85219
60.04	23.85269
60.08	23.85689
60.12	23.85204
60.16	23.86482
60.2	23.85428
60.24	23.85736
60.28	23.8588
60.32	23.85376
60.36	23.85135
60.4	23.84508
60.44	23.83694
60.48	23.83611
60.52	23.82558
60.56	23.83235
60.6	23.83662
60.64	23.83925
60.68	23.83652
60.72	23.84566
60.76	23.84494
60.8	23.84053
60.84	23.84543
60.88	23.83904
60.92	23.84621
60.96	23.84808
61.0	23.84277
61.04	23.85022
61.08	23.8452
61.12	23.84601
61.16	23.85239
61.2	23.84769
61.24	23.85088
61.28	23.85289
