Relative Intensity Antonio_0.02_1.5_lampadina_2	Position (m) Antonio_0.02_1.5_lampadina_2
0.1578369	-0.11547015
0.1512451	-0.11576602
0.1495667	-0.11588437
0.1420746	-0.1164564
0.1312256	-0.11736375
0.1252594	-0.11775825
0.1246948	-0.1177977
0.1243591	-0.11785687
0.1217804	-0.1180344
0.1193695	-0.11821192
0.1149597	-0.11844862
0.1075897	-0.11878395
0.10112	-0.11900092
0.098053	-0.11911927
0.0943909	-0.11927707
0.0875854	-0.11955322
0.0753326	-0.1200858
0.0632477	-0.1205592
0.0614166	-0.12057892
0.0611115	-0.12057892
0.0610962	-0.1205592
0.0607147	-0.1205592
0.0633392	-0.12044085
0.0631561	-0.12046057
0.0632935	-0.12046057
0.0628662	-0.12046057
0.0631561	-0.12046057
0.0634613	-0.12046057
0.0632629	-0.12044085
0.0635071	-0.12044085
0.0634766	-0.12044085
0.0627289	-0.12046057
0.0628662	-0.1204803
0.0628662	-0.12051975
0.0596008	-0.12073672
0.052887	-0.1212693
0.0463409	-0.12186105
0.0419312	-0.12239362
0.0405121	-0.12257115
0.0403137	-0.12265005
0.0393219	-0.12290647
0.0379944	-0.12328125
0.0377045	-0.12349822
0.0374146	-0.12365602
0.037384	-0.12391245
0.0372314	-0.1242675
0.0369873	-0.12446475
0.0376587	-0.124662
0.0381012	-0.12495787
0.0383759	-0.1252143
0.0387573	-0.12531292
0.0391541	-0.1253721
0.0396423	-0.12558907
0.0405884	-0.1258455
0.041748	-0.12598357
0.0425262	-0.12624
0.0443573	-0.12651615
0.0444794	-0.12657532
0.0440674	-0.12653587
0.0443878	-0.12651615
0.0436401	-0.12649642
0.0443268	-0.12649642
0.0440521	-0.12649642
0.0437317	-0.12649642
0.0435486	-0.12649642
0.0439148	-0.12649642
0.0446472	-0.12649642
0.0439606	-0.12649642
0.0443115	-0.12649642
0.0442963	-0.12653587
0.0435333	-0.1265556
0.0445099	-0.12657532
0.0450134	-0.12661477
0.046051	-0.12693037
0.0487061	-0.12769965
0.0491638	-0.12803497
0.0495911	-0.1280547
0.0501709	-0.12819277
0.0510559	-0.12858727
0.0516357	-0.12872535
0.0523071	-0.12878452
0.0536041	-0.12902122
0.0554504	-0.12943545
0.0570068	-0.12961297
0.059433	-0.12990885
0.064682	-0.1303428
0.0703735	-0.13075702
0.0749512	-0.1310529
0.0789642	-0.13130932
0.0801697	-0.1313685
0.0802155	-0.13138822
0.0821533	-0.13150657
0.0834198	-0.13158547
0.0836334	-0.13158547
0.082901	-0.13156575
0.0815887	-0.13148685
0.0810089	-0.13138822
0.0811615	-0.13138822
0.0808258	-0.13138822
0.0812683	-0.13138822
0.0808868	-0.13138822
0.0809631	-0.13138822
0.0804138	-0.13140795
0.0811615	-0.13142767
0.0809631	-0.1314474
0.081604	-0.13146712
0.0822754	-0.13158547
0.0850525	-0.131763
0.0895233	-0.13225612
0.0918121	-0.13280842
0.0881348	-0.13332127
0.0838776	-0.13379467
0.0813446	-0.13418917
0.0806885	-0.13470202
0.0810852	-0.1349979
0.0814819	-0.13501762
0.0819702	-0.13513597
0.0853882	-0.13553047
0.0881805	-0.13564882
0.0881348	-0.13566855
0.0889587	-0.13580662
0.0924683	-0.13600387
0.0969543	-0.13624057
0.1005096	-0.1364181
0.1034546	-0.1365759
0.1087036	-0.13695067
0.1126556	-0.137286
0.1130981	-0.137286
0.1125336	-0.13724655
0.1123199	-0.1371282
0.1119232	-0.13706902
0.1119995	-0.13706902
0.1122131	-0.13706902
0.1123657	-0.13706902
0.1125488	-0.13706902
0.1121826	-0.13706902
0.112793	-0.13708875
0.1127319	-0.1371282
0.1127014	-0.1372071
0.1125641	-0.13722682
0.1125031	-0.13734517
0.1099243	-0.13785802
0.0970154	-0.1386273
0.0917511	-0.13884427
0.0919342	-0.13884427
0.090332	-0.13898235
0.0859985	-0.13929795
0.0839386	-0.139653
0.0830536	-0.13985025
0.0835266	-0.14002777
0.0847473	-0.1402842
0.0874634	-0.14058007
0.0935211	-0.14097457
0.0972595	-0.14127045
0.1020508	-0.14168467
0.1024933	-0.1422567
0.0926361	-0.14274982
0.0816498	-0.1432035
0.0799103	-0.1432824
0.0799103	-0.14324295
0.0800629	-0.14322322
0.0804138	-0.14294707
0.0803528	-0.1429668
0.0801849	-0.1429668
0.0799103	-0.1429668
0.0797729	-0.1429668
0.0801239	-0.1429668
0.080307	-0.14298652
0.0804443	-0.14298652
0.0803223	-0.14300625
0.0806732	-0.14314432
0.0792084	-0.14326267
0.0738525	-0.1437558
0.0707092	-0.14464342
0.0736694	-0.1453338
0.0750275	-0.14560995
0.0761108	-0.145965
0.0700378	-0.14685262
0.0580292	-0.1477797
0.0529938	-0.14866732
0.0534668	-0.14937742
0.0541687	-0.14981137
0.0537262	-0.14981137
0.0536194	-0.14981137
0.0539246	-0.14973247
0.0534973	-0.14973247
0.0538483	-0.14973247
0.0534363	-0.14973247
0.0534821	-0.14973247
0.053894	-0.14973247
0.0536499	-0.14973247
0.0534058	-0.14977192
0.0538177	-0.14989027
0.0521088	-0.1503834
0.0467529	-0.15115267
0.042511	-0.15206002
0.0405121	-0.1532238
0.039032	-0.15411142
0.0386963	-0.15438757
0.038147	-0.15490042
0.0378418	-0.155433
0.0375671	-0.15568942
0.0381165	-0.15570915
0.0379181	-0.15570915
0.0379944	-0.15545272
0.0379639	-0.15547245
0.0378571	-0.15547245
0.0380554	-0.15547245
0.038147	-0.15547245
0.0380402	-0.15545272
0.0377502	-0.15547245
0.038147	-0.15555135
0.0380707	-0.15561052
0.0382996	-0.15602475
0.0380707	-0.15683347
0.0391235	-0.15776055
0.0399475	-0.15862845
0.040802	-0.15935827
0.0435486	-0.16022617
0.0454712	-0.16105462
0.0455627	-0.16154775
0.0451965	-0.1618239
0.0455475	-0.16180417
0.0457764	-0.16164637
0.0453339	-0.16154775
0.0454254	-0.16154775
0.045166	-0.16154775
0.0452881	-0.16154775
0.0457764	-0.1615872
0.0460663	-0.16170555
0.0455627	-0.1620606
0.0465088	-0.16251427
0.0511627	-0.16334272
0.0527649	-0.16436842
0.0528564	-0.16551247
0.0584412	-0.1664001
0.0577087	-0.1671102
0.0566559	-0.16754415
0.0545044	-0.16795837
0.0547028	-0.16793865
0.0545349	-0.16785975
0.0544739	-0.16784002
0.0541382	-0.16784002
0.0545044	-0.16784002
0.0545044	-0.16784002
0.0548248	-0.16784002
0.0548553	-0.16785975
0.0544281	-0.16801755
0.0549927	-0.16847122
0.0613556	-0.16935885
0.0582886	-0.17032537
0.0562134	-0.17123272
0.0601807	-0.17204145
0.0579987	-0.17304742
0.053894	-0.1738167
0.0539551	-0.17393505
0.0538483	-0.17393505
0.0542908	-0.1738167
0.0541382	-0.17379697
0.054306	-0.17379697
0.0542908	-0.17379697
0.0544586	-0.17379697
0.0541077	-0.17379697
0.0539246	-0.17385615
0.0545502	-0.17440845
0.0570984	-0.17545387
0.0505981	-0.17663737
0.0507202	-0.17786032
0.0471649	-0.1792608
0.0469818	-0.17961585
0.0468903	-0.17969475
0.0469666	-0.17971447
0.0469055	-0.17971447
0.0470886	-0.17969475
0.0466614	-0.17967502
0.0465088	-0.17961585
0.046875	-0.17953695
0.0473175	-0.17953695
0.0467224	-0.17953695
0.0471497	-0.17953695
0.0469666	-0.17953695
0.0471191	-0.17953695
0.0466003	-0.17971447
0.0462189	-0.1797342
0.0468597	-0.1797342
0.0465546	-0.1797342
0.0463715	-0.1797342
0.0464172	-0.1797342
0.0469666	-0.1797342
0.0464783	-0.17967502
0.0464172	-0.17967502
0.046402	-0.17967502
0.0462341	-0.17967502
0.0461426	-0.17971447
0.0467682	-0.17971447
0.046463	-0.17971447
0.0465698	-0.17971447
0.0464935	-0.17971447
0.0463867	-0.17967502
0.0464478	-0.17961585
0.0463715	-0.17953695
0.0464325	-0.17908327
0.0464325	-0.17843235
0.0490875	-0.1777617
0.0514984	-0.17715022
0.0505981	-0.1763415
0.0521851	-0.17565112
0.0537109	-0.1755525
0.053772	-0.1755525
0.0536194	-0.1755525
0.0533752	-0.1755525
0.0528107	-0.1755525
0.0535431	-0.1756314
0.0538483	-0.1756314
0.0539246	-0.1756314
0.053772	-0.1756314
0.0540161	-0.1756314
