Relative Intensity Alessio_0.02_1.0_candela	Position (m) Alessio_0.02_1.0_candela
0.6168823	-0.09978878
0.6202393	-0.10006493
0.6291046	-0.10038053
0.6432648	-0.10053833
0.6486053	-0.10055805
0.6469269	-0.10055805
0.6446686	-0.10055805
0.6440582	-0.10055805
0.6419373	-0.10055805
0.644165	-0.10055805
0.6455078	-0.10055805
0.6435547	-0.10055805
0.6436768	-0.10055805
0.6411285	-0.10055805
0.6397705	-0.10055805
0.6368713	-0.10055805
0.6376953	-0.10055805
0.638031	-0.10063695
0.6423492	-0.10113008
0.6439667	-0.10132733
0.6420288	-0.10140623
0.635498	-0.10191908
0.6319275	-0.10227413
0.6246643	-0.10262918
0.6123199	-0.1031223
0.5884552	-0.10357598
0.5746918	-0.1039113
0.5545807	-0.10432553
0.5450439	-0.10440443
0.5413208	-0.10442415
0.5414581	-0.10442415
0.5444946	-0.10442415
0.5407715	-0.10442415
0.5377808	-0.10442415
0.5377045	-0.10442415
0.5388184	-0.10442415
0.5393829	-0.10442415
0.5394592	-0.10442415
0.5365906	-0.10442415
0.5348511	-0.10442415
0.5401001	-0.10442415
0.5406342	-0.10442415
0.5414581	-0.10458195
0.4807281	-0.10521315
0.4592743	-0.1054893
0.4428864	-0.10568655
0.4174347	-0.10590353
0.4082794	-0.1060416
0.3848724	-0.10637693
0.3701477	-0.10655445
0.3603363	-0.10671225
0.3444214	-0.10696868
0.3370667	-0.10708703
0.3227234	-0.10728428
0.3057709	-0.10758015
0.2973785	-0.10773795
0.2963409	-0.10775768
0.2998047	-0.10775768
0.297699	-0.10775768
0.2948456	-0.10773795
0.2969971	-0.10773795
0.2984924	-0.10773795
0.296936	-0.10773795
0.2967987	-0.10773795
0.2983704	-0.10773795
0.2961273	-0.10773795
0.2953796	-0.10775768
0.3004456	-0.10775768
0.296051	-0.10787603
0.2692108	-0.10844805
0.2593994	-0.10870448
0.2548981	-0.10884255
0.2471771	-0.1090398
0.2400513	-0.10925678
0.2334595	-0.10957238
0.2242737	-0.10994715
0.2211761	-0.11008523
0.2182922	-0.11028248
0.2160492	-0.11051918
0.2153778	-0.11073615
0.2161407	-0.11075588
0.2147522	-0.11075588
0.2138672	-0.11073615
0.2136078	-0.11071643
0.2153015	-0.11071643
0.2132568	-0.11071643
0.2124786	-0.11071643
0.2131958	-0.11071643
0.2130737	-0.11071643
0.2125092	-0.11071643
0.210907	-0.11075588
0.2114563	-0.11075588
0.2142944	-0.11075588
0.2134857	-0.1107756
0.2069855	-0.11134763
0.2043457	-0.1118802
0.207962	-0.11205773
0.2100677	-0.11237333
0.2107086	-0.11262975
0.2116394	-0.1129059
0.2136688	-0.11320178
0.2164612	-0.1134582
0.2153778	-0.11381325
0.214798	-0.11397105
0.2136688	-0.11410913
0.211441	-0.11430638
0.2082672	-0.11450363
0.2045135	-0.11462198
0.2046204	-0.11462198
0.2059631	-0.11462198
0.206543	-0.11458253
0.2057037	-0.11458253
0.2055359	-0.11458253
0.2062378	-0.11458253
0.2076721	-0.11458253
0.2068481	-0.11458253
0.2050171	-0.11460225
0.2059784	-0.11462198
0.2089081	-0.11462198
0.2083893	-0.11462198
0.2025452	-0.11481923
0.1817017	-0.11533208
0.1628265	-0.11560823
0.146225	-0.115983
0.1321259	-0.11625915
0.1235657	-0.11651558
0.1073303	-0.11689035
0.1003723	-0.11698898
0.0990448	-0.11702843
0.0912628	-0.11728485
0.0842133	-0.11746238
0.0786896	-0.1177188
0.0733948	-0.11791605
0.0723877	-0.11793578
0.0714417	-0.11793578
0.0718384	-0.11791605
0.073288	-0.11791605
0.0732422	-0.11791605
0.0718994	-0.11791605
0.0716858	-0.11791605
0.0732422	-0.11791605
0.0740662	-0.11791605
0.073288	-0.11791605
0.0725708	-0.11793578
0.0731049	-0.11793578
0.0665894	-0.11825138
0.0559235	-0.11896148
0.0531464	-0.11919818
0.0529175	-0.1192179
0.0527802	-0.11925735
0.0508575	-0.11965185
0.0468292	-0.12018443
0.0453796	-0.1204803
0.0434113	-0.12077618
0.0414276	-0.12107205
0.0416412	-0.12115095
0.0410919	-0.12140738
0.0401306	-0.12178215
0.0385132	-0.12195968
0.0380554	-0.12195968
0.037735	-0.12195968
0.0385437	-0.12195968
0.0396576	-0.12193995
0.0394287	-0.12192023
0.038559	-0.12192023
0.0378265	-0.12192023
0.0380859	-0.12192023
0.0389709	-0.12192023
0.0395813	-0.12192023
0.039032	-0.12192023
0.0380554	-0.12195968
0.0376434	-0.12195968
0.0378571	-0.12215693
0.0301514	-0.12290648
0.0288544	-0.12310373
0.026123	-0.1233207
