Light Intensity (% of scale max) Alessio_0.02_1.5_lampadina_old	Position (m) Alessio_0.02_1.5_lampadina_old
0.16193	-0.158333
0.16351	-0.158333
0.16469	-0.158333
0.16422	-0.158392
0.1651	-0.158411
0.16525	-0.158411
0.16479	-0.158411
0.16493	-0.158411
0.16452	-0.158411
0.16473	-0.158352
0.1647	-0.158352
0.16434	-0.158175
0.16367	-0.157583
0.16379	-0.157524
0.16399	-0.157386
0.16495	-0.15711
0.16504	-0.15705
0.16505	-0.156814
0.16547	-0.156518
0.16565	-0.156518
0.16597	-0.1564
0.16663	-0.155788
0.16704	-0.155571
0.1674	-0.155571
0.16727	-0.155551
0.16743	-0.155551
0.16754	-0.155492
0.16759	-0.155551
0.16774	-0.155551
0.16779	-0.155551
0.16777	-0.155551
0.16801	-0.155551
0.16791	-0.155532
0.16791	-0.155492
0.16829	-0.155354
0.16994	-0.154506
0.16997	-0.154052
0.17029	-0.153914
0.17111	-0.153342
0.17458	-0.152514
0.17722	-0.152099
0.17792	-0.15204
0.17845	-0.151863
0.17914	-0.151843
0.17892	-0.151843
0.17896	-0.151843
0.18044	-0.151883
0.18073	-0.151883
0.18034	-0.151883
0.18039	-0.151883
0.18015	-0.151883
0.18019	-0.151863
0.18001	-0.151863
0.18105	-0.151409
0.18144	-0.15062
0.18221	-0.14993
0.1825	-0.149713
0.18311	-0.14922
0.1868	-0.148825
0.19249	-0.14845
0.19778	-0.148076
0.19995	-0.147957
0.20053	-0.147957
0.20079	-0.147957
0.20026	-0.147997
0.19942	-0.147997
0.19975	-0.147997
0.19963	-0.147997
0.19946	-0.147997
0.19984	-0.147997
0.2	-0.147977
0.19992	-0.147977
0.19991	-0.147957
0.20102	-0.147484
0.19771	-0.146853
0.19585	-0.146636
0.19556	-0.146419
0.19493	-0.146103
0.19572	-0.145689
0.19879	-0.145373
0.19994	-0.145314
0.20462	-0.145018
0.20793	-0.1449
0.20728	-0.1449
0.2068	-0.1449
0.20634	-0.1449
0.20723	-0.1449
0.20767	-0.1449
0.20796	-0.1449
0.20715	-0.1449
0.20776	-0.1449
0.2083	-0.1449
0.20793	-0.1449
0.20805	-0.1449
0.20876	-0.1449
0.20822	-0.1449
0.20999	-0.144604
0.21796	-0.144131
