Light Intensity (% of scale max) Antonio_0.02_1.5_lampadina	Position (m) Antonio_0.02_1.5_lampadina
0.9000000000	-0.1043000000
0.8000000000	-0.1046000000
0.8000000000	-0.1048000000
0.8000000000	-0.1050000000
0.8000000000	-0.1052000000
0.7000000000	-0.1054000000
0.7000000000	-0.1055000000
0.7000000000	-0.1055000000
0.7000000000	-0.1055000000
0.7000000000	-0.1055000000
0.7000000000	-0.1055000000
0.7000000000	-0.1055000000
0.7000000000	-0.1055000000
0.7000000000	-0.1055000000
0.7000000000	-0.1055000000
0.7000000000	-0.1055000000
0.7000000000	-0.1055000000
0.7000000000	-0.1055000000
0.7000000000	-0.1055000000
0.7000000000	-0.1055000000
0.7000000000	-0.1055000000
0.7000000000	-0.1055000000
0.7000000000	-0.1055000000
0.7000000000	-0.1055000000
0.7000000000	-0.1056000000
0.7000000000	-0.1061000000
0.6000000000	-0.1065000000
0.6000000000	-0.1068000000
0.6000000000	-0.1071000000
0.6000000000	-0.1073000000
0.6000000000	-0.1078000000
0.5000000000	-0.1081000000
0.5000000000	-0.1082000000
0.5000000000	-0.1082000000
0.5000000000	-0.1084000000
0.5000000000	-0.1086000000
0.5000000000	-0.1089000000
0.5000000000	-0.1090000000
0.5000000000	-0.1090000000
0.5000000000	-0.1093000000
0.5000000000	-0.1094000000
0.5000000000	-0.1096000000
0.5000000000	-0.1098000000
0.5000000000	-0.1101000000
0.5000000000	-0.1103000000
0.5000000000	-0.1104000000
0.5000000000	-0.1106000000
0.5000000000	-0.1109000000
0.5000000000	-0.1112000000
0.5000000000	-0.1114000000
0.5000000000	-0.1117000000
0.5000000000	-0.1118000000
0.5000000000	-0.1118000000
0.5000000000	-0.1118000000
0.5000000000	-0.1119000000
0.5000000000	-0.1119000000
0.5000000000	-0.1118000000
0.5000000000	-0.1118000000
0.5000000000	-0.1118000000
0.5000000000	-0.1118000000
0.5000000000	-0.1118000000
0.5000000000	-0.1118000000
0.5000000000	-0.1118000000
0.5000000000	-0.1118000000
0.5000000000	-0.1118000000
0.5000000000	-0.1119000000
0.5000000000	-0.1119000000
0.5000000000	-0.1119000000
0.5000000000	-0.1120000000
0.5000000000	-0.1124000000
0.5000000000	-0.1129000000
0.5000000000	-0.1135000000
0.5000000000	-0.1139000000
0.5000000000	-0.1140000000
0.4000000000	-0.1144000000
0.4000000000	-0.1146000000
0.4000000000	-0.1146000000
0.4000000000	-0.1149000000
0.4000000000	-0.1151000000
0.4000000000	-0.1152000000
0.4000000000	-0.1152000000
0.4000000000	-0.1154000000
0.3000000000	-0.1157000000
0.3000000000	-0.1157000000
0.3000000000	-0.1159000000
0.3000000000	-0.1162000000
0.3000000000	-0.1164000000
0.3000000000	-0.1168000000
0.3000000000	-0.1169000000
0.2000000000	-0.1169000000
0.2000000000	-0.1170000000
0.2000000000	-0.1171000000
0.2000000000	-0.1173000000
0.2000000000	-0.1174000000
0.2000000000	-0.1176000000
0.2000000000	-0.1177000000
0.2000000000	-0.1178000000
0.2000000000	-0.1179000000
0.2000000000	-0.1179000000
0.2000000000	-0.1178000000
0.2000000000	-0.1178000000
0.2000000000	-0.1178000000
0.2000000000	-0.1178000000
0.2000000000	-0.1178000000
0.2000000000	-0.1178000000
0.2000000000	-0.1178000000
0.2000000000	-0.1178000000
0.2000000000	-0.1178000000
0.2000000000	-0.1178000000
0.2000000000	-0.1179000000
0.2000000000	-0.1179000000
0.2000000000	-0.1179000000
0.2000000000	-0.1179000000
0.2000000000	-0.1181000000
0.2000000000	-0.1187000000
0.2000000000	-0.1190000000
0.2000000000	-0.1193000000
0.2000000000	-0.1195000000
0.2000000000	-0.1197000000
0.2000000000	-0.1200000000
0.2000000000	-0.1203000000
0.2000000000	-0.1208000000
0.2000000000	-0.1209000000
0.2000000000	-0.1210000000
0.2000000000	-0.1212000000
0.2000000000	-0.1213000000
0.2000000000	-0.1215000000
0.2000000000	-0.1217000000
0.2000000000	-0.1218000000
0.2000000000	-0.1219000000
0.2000000000	-0.1221000000
0.2000000000	-0.1222000000
0.2000000000	-0.1222000000
0.2000000000	-0.1223000000
0.2000000000	-0.1224000000
0.1000000000	-0.1227000000
0.1000000000	-0.1228000000
0.1000000000	-0.1229000000
0.1000000000	-0.1230000000
0.1000000000	-0.1230000000
0.1000000000	-0.1234000000
0.1000000000	-0.1235000000
0.1000000000	-0.1235000000
0.1000000000	-0.1235000000
0.1000000000	-0.1235000000
0.1000000000	-0.1235000000
0.1000000000	-0.1235000000
0.1000000000	-0.1235000000
