Light Intensity (% of scale max) Alessandra_0.02_1.5_lampadina_old	Position (m) Alessandra_0.02_1.5_lampadina_old
0.17752	-0.152376
0.17763	-0.152376
0.17761	-0.152395
0.1776	-0.152395
0.17746	-0.152395
0.17737	-0.152395
0.17769	-0.152376
0.17812	-0.152376
0.17747	-0.152119
0.17828	-0.151429
0.18268	-0.150738
0.18721	-0.150285
0.19333	-0.149831
0.19646	-0.149259
0.19556	-0.148293
0.19655	-0.146872
0.21481	-0.145235
0.20793	-0.14415
0.20792	-0.143894
0.20856	-0.143854
0.20946	-0.143657
0.21112	-0.143519
0.21457	-0.143243
0.21814	-0.143006
0.22865	-0.142454
0.23744	-0.141606
0.23541	-0.141251
0.23128	-0.140896
0.22145	-0.140363
0.22163	-0.140363
0.22169	-0.140363
0.22179	-0.140363
0.22083	-0.140363
0.22128	-0.140383
0.22226	-0.140383
0.22231	-0.140383
0.22179	-0.140383
0.22215	-0.140383
0.22231	-0.140383
0.2218	-0.140383
0.22229	-0.140383
0.22209	-0.140383
0.2216	-0.140363
0.22192	-0.140363
0.22234	-0.140343
0.22098	-0.140008
0.21249	-0.139318
0.21147	-0.138746
0.21199	-0.138608
0.21257	-0.138469
0.21704	-0.138016
0.22694	-0.137168
0.22899	-0.136556
0.2267	-0.13626
0.22301	-0.136024
0.2135	-0.135313
0.19691	-0.133893
0.1981	-0.132493
0.19482	-0.131645
0.19363	-0.131546
0.19341	-0.131526
0.19313	-0.131309
0.18782	-0.131013
0.18794	-0.131013
0.1873	-0.131013
0.1852	-0.130836
0.18465	-0.130757
0.18283	-0.130619
0.17848	-0.130126
0.17578	-0.129731
0.17538	-0.129652
0.17276	-0.129061
0.17203	-0.128627
0.17111	-0.128232
0.16954	-0.127621
0.17036	-0.127562
0.17032	-0.127562
0.17003	-0.127621
0.17017	-0.127621
0.16956	-0.127621
0.16975	-0.127621
0.17052	-0.127621
0.1702	-0.127621
0.17033	-0.127621
0.1701	-0.127621
0.16989	-0.127621
0.17029	-0.127601
0.17047	-0.127562
0.17041	-0.127562
0.17043	-0.127542
0.17023	-0.127443
0.17006	-0.12697
0.16934	-0.126654
0.16904	-0.126457
0.16954	-0.126457
0.16911	-0.126457
0.16951	-0.126457
0.16992	-0.126437
0.16972	-0.126339
0.16992	-0.126201
0.16986	-0.126201
0.17006	-0.126181
0.16974	-0.126181
0.16965	-0.126181
0.16974	-0.126161
0.1711	-0.12549
0.18018	-0.12407
0.18178	-0.123893
0.18161	-0.123695
0.18251	-0.123123
0.18639	-0.122571
0.20479	-0.121545
0.22192	-0.120954
0.24142	-0.120362
0.27165	-0.119672
0.2964	-0.119257
0.3058	-0.119139
0.31357	-0.118823
0.33118	-0.118547
0.33359	-0.118449
0.34094	-0.118232
0.34512	-0.117995
