Time (s) rumore_abientale_1.5_candela	Light Intensity (% of scale max) rumore_abientale_1.5_candela
44.68	1.42105
44.72	1.39069
44.76	1.35913
44.8	1.35275
44.84	1.38097
44.88	1.40221
44.92	1.43286
44.96	1.44032
45.0	1.42148
45.04	1.39467
45.08	1.35796
45.12	1.35077
45.16	1.37859
45.2	1.39914
45.24	1.42941
45.28	1.43855
45.32	1.41879
45.36	1.39394
45.4	1.35672
45.44	1.34978
45.48	1.37648
45.52	1.39957
45.56	1.4294
45.6	1.43814
45.64	1.42244
45.68	1.38692
45.72	1.36272
45.76	1.35454
45.8	1.3826
45.84	1.40518
45.88	1.43521
45.92	1.44604
45.96	1.43051
46.0	1.39439
46.04	1.37308
46.08	1.35944
46.12	1.38654
46.16	1.40851
46.2	1.43608
46.24	1.45113
46.28	1.4344
46.32	1.39793
46.36	1.37569
46.4	1.35989
46.44	1.38594
46.48	1.40683
46.52	1.43622
46.56	1.45187
46.6	1.4335
46.64	1.40735
46.68	1.37013
46.72	1.36197
46.76	1.38699
46.8	1.40689
46.84	1.43764
46.88	1.44806
46.92	1.43156
46.96	1.39796
47.0	1.37341
47.04	1.3586
47.08	1.38515
47.12	1.40575
47.16	1.4369
47.2	1.44743
47.24	1.43024
47.28	1.40416
47.32	1.36807
47.36	1.36101
47.4	1.38486
47.44	1.40652
47.48	1.43648
47.52	1.44463
47.56	1.4257
47.6	1.3999
47.64	1.36308
47.68	1.35297
47.72	1.381
47.76	1.40331
47.8	1.43332
47.84	1.44275
47.88	1.4238
47.92	1.39726
47.96	1.36133
48.0	1.35294
48.04	1.38017
48.08	1.40372
48.12	1.43356
48.16	1.44337
48.2	1.42506
48.24	1.38954
48.28	1.36391
48.32	1.35635
48.36	1.38148
48.4	1.40366
48.44	1.43402
48.48	1.44112
48.52	1.42206
48.56	1.3922
48.6	1.3614
48.64	1.35417
48.68	1.38017
48.72	1.40332
48.76	1.43456
48.8	1.44119
48.84	1.42616
48.88	1.38846
48.92	1.36491
48.96	1.35779
49.0	1.38425
49.04	1.40588
49.08	1.43617
49.12	1.44362
49.16	1.4286
49.2	1.39175
49.24	1.36559
49.28	1.35907
49.32	1.38589
49.36	1.40775
49.4	1.43726
49.44	1.44601
49.48	1.42764
49.52	1.40253
49.56	1.36548
49.6	1.3568
49.64	1.38506
49.68	1.4053
49.72	1.43433
49.76	1.44644
49.8	1.4281
49.84	1.40228
49.88	1.36728
49.92	1.36034
49.96	1.3853
50.0	1.40669
50.04	1.43605
50.08	1.44644
50.12	1.42845
50.16	1.39229
50.2	1.36838
50.24	1.35678
50.28	1.38281
50.32	1.4032
50.36	1.43045
50.4	1.44185
50.44	1.4239
50.48	1.39005
50.52	1.36076
50.56	1.34955
50.6	1.36076
50.64	1.39265
50.68	1.41959
50.72	1.4272
50.76	1.40463
50.8	1.36974
50.84	1.338
50.88	1.32848
50.92	1.33833
50.96	1.37025
51.0	1.39828
51.04	1.40611
51.08	1.38693
51.12	1.35773
51.16	1.32323
51.2	1.31584
51.24	1.3279
51.28	1.35918
51.32	1.38902
51.36	1.39963
51.4	1.38536
51.44	1.34735
51.48	1.32089
51.52	1.3089
51.56	1.32503
51.6	1.35713
51.64	1.38721
51.68	1.40129
51.72	1.38524
51.76	1.36162
51.8	1.32552
51.84	1.31741
51.88	1.33066
51.92	1.36317
51.96	1.39352
52.0	1.40964
52.04	1.3969
52.08	1.36079
52.12	1.33398
52.16	1.32225
52.2	1.33435
52.24	1.36948
52.28	1.39624
52.32	1.41411
52.36	1.39972
52.4	1.36829
52.44	1.34084
52.48	1.32822
52.52	1.34055
52.56	1.37646
52.6	1.40526
52.64	1.42349
52.68	1.4095
52.72	1.38606
52.76	1.35172
52.8	1.3427
52.84	1.35449
52.88	1.39127
52.92	1.42076
52.96	1.43727
53.0	1.42612
53.04	1.39272
53.08	1.36533
53.12	1.34904
53.16	1.36537
53.2	1.39664
53.24	1.42613
53.28	1.44522
53.32	1.43208
53.36	1.39447
53.4	1.37141
53.44	1.35095
53.48	1.36693
53.52	1.399
53.56	1.42755
53.6	1.44962
53.64	1.43564
53.68	1.40161
53.72	1.37483
53.76	1.35928
53.8	1.37117
53.84	1.40497
53.88	1.43199
53.92	1.45055
53.96	1.43597
54.0	1.40854
54.04	1.37383
54.08	1.36145
54.12	1.37231
54.16	1.40434
54.2	1.43077
54.24	1.44991
54.28	1.43353
54.32	1.40651
54.36	1.3719
54.4	1.35815
54.44	1.36986
54.48	1.40266
54.52	1.43065
54.56	1.44965
54.6	1.43576
54.64	1.39784
54.68	1.37494
54.72	1.35533
54.76	1.37166
54.8	1.40546
54.84	1.43576
54.88	1.44844
54.92	1.43498
54.96	1.40457
55.0	1.37108
55.04	1.36113
55.08	1.37381
55.12	1.40793
55.16	1.43536
55.2	1.45151
55.24	1.43452
55.28	1.40012
55.32	1.37492
55.36	1.36189
55.4	1.37608
55.44	1.40976
55.48	1.43991
55.52	1.45358
55.56	1.43758
55.6	1.40933
55.64	1.37567
55.68	1.36736
55.72	1.37825
55.76	1.41132
55.8	1.4402
55.84	1.45441
55.88	1.43781
55.92	1.40755
55.96	1.37685
56.0	1.36479
56.04	1.3756
56.08	1.40947
56.12	1.43925
56.16	1.45206
56.2	1.43637
56.24	1.41074
56.28	1.37376
56.32	1.36343
56.36	1.37447
56.4	1.40836
56.44	1.43718
56.48	1.45218
56.52	1.43616
56.56	1.40442
56.6	1.37482
56.64	1.35707
56.68	1.37297
56.72	1.40308
56.76	1.43123
56.8	1.44612
56.84	1.43208
56.88	1.39262
56.92	1.3683
56.96	1.34933
57.0	1.36246
57.04	1.39075
57.08	1.41664
57.12	1.42981
57.16	1.41342
57.2	1.37299
57.24	1.34171
57.28	1.32487
57.32	1.33879
57.36	1.3665
57.4	1.39381
57.44	1.40994
57.48	1.39714
57.52	1.36002
57.56	1.33545
57.6	1.31442
57.64	1.326
57.68	1.35718
57.72	1.38443
57.76	1.40225
57.8	1.3924
57.84	1.36366
57.88	1.33211
57.92	1.31892
57.96	1.33293
58.0	1.3681
58.04	1.39452
58.08	1.4156
58.12	1.403
58.16	1.37877
58.2	1.34334
58.24	1.33102
58.28	1.34142
58.32	1.3754
58.36	1.40271
58.4	1.42235
58.44	1.40982
58.48	1.38487
58.52	1.34984
58.56	1.33342
58.6	1.34756
58.64	1.38132
58.68	1.40973
58.72	1.42943
58.76	1.42044
58.8	1.38585
58.84	1.3647
58.88	1.34224
58.92	1.35919
58.96	1.3786
59.0	1.42201
59.04	1.44699
59.08	1.43666
59.12	1.41281
59.16	1.37601
59.2	1.36168
59.24	1.37056
59.28	1.38875
59.32	1.4303
59.36	1.45279
59.4	1.44305
59.44	1.41972
59.48	1.38512
59.52	1.36531
59.56	1.37561
59.6	1.39401
59.64	1.43112
59.68	1.45705
59.72	1.44411
59.76	1.42168
59.8	1.38278
59.84	1.36621
59.88	1.37411
59.92	1.39166
59.96	1.43112
60.0	1.45537
60.04	1.4469
60.08	1.42123
60.12	1.3916
