Time (s) rumore_di_fondo_lampadina	Light Intensity (% of scale max) rumore_di_fondo_lampadina
46.08	0.04366
46.12	0.04355
46.16	0.04356
46.2	0.04343
46.24	0.04356
46.28	0.04362
46.32	0.04321
46.36	0.04352
46.4	0.04352
46.44	0.0435
46.48	0.04326
46.52	0.04317
46.56	0.04344
46.6	0.0439
46.64	0.04301
46.68	0.04326
46.72	0.04326
46.76	0.0432
46.8	0.04337
46.84	0.0435
46.88	0.04353
46.92	0.04379
46.96	0.04344
47.0	0.04338
47.04	0.04355
47.08	0.04337
47.12	0.04324
47.16	0.04349
47.2	0.043
47.24	0.04343
47.28	0.04341
47.32	0.04338
47.36	0.04288
47.4	0.04337
47.44	0.04312
47.48	0.04318
47.52	0.04305
47.56	0.04343
47.6	0.04294
47.64	0.04292
47.68	0.04283
47.72	0.04385
47.76	0.0428
47.8	0.04315
47.84	0.04346
47.88	0.04344
47.92	0.04323
47.96	0.04338
48.0	0.04303
48.04	0.04306
48.08	0.04337
48.12	0.04306
48.16	0.04349
48.2	0.04309
48.24	0.04303
48.28	0.04309
48.32	0.04332
48.36	0.04318
48.4	0.04294
48.44	0.04327
48.48	0.04311
48.52	0.04286
48.56	0.04323
48.6	0.04272
48.64	0.04277
48.68	0.04279
48.72	0.0432
48.76	0.0426
48.8	0.04295
48.84	0.04286
48.88	0.04288
48.92	0.04362
48.96	0.04341
49.0	0.0433
49.04	0.04312
49.08	0.043
49.12	0.04333
49.16	0.04333
49.2	0.04318
49.24	0.04352
49.28	0.04335
49.32	0.04312
49.36	0.04361
49.4	0.0435
49.44	0.04375
49.48	0.04401
49.52	0.04376
49.56	0.04333
49.6	0.04399
49.64	0.04344
49.68	0.04401
49.72	0.04398
49.76	0.04388
49.8	0.04398
49.84	0.04385
49.88	0.04445
49.92	0.04366
49.96	0.04373
50.0	0.04387
50.04	0.04385
50.08	0.04387
50.12	0.04391
50.16	0.04355
50.2	0.04367
50.24	0.04445
50.28	0.04407
50.32	0.04398
50.36	0.04396
50.4	0.04407
50.44	0.04451
50.48	0.04395
50.52	0.04408
50.56	0.04465
50.6	0.04428
50.64	0.04401
50.68	0.0444
50.72	0.04405
50.76	0.04422
50.8	0.04407
50.84	0.04381
50.88	0.0441
50.92	0.04459
50.96	0.0444
51.0	0.04431
51.04	0.0444
51.08	0.04399
51.12	0.04482
51.16	0.04517
51.2	0.04451
51.24	0.04428
51.28	0.04477
51.32	0.04482
51.36	0.04497
51.4	0.04468
51.44	0.04482
51.48	0.04497
51.52	0.04456
51.56	0.0448
51.6	0.04482
51.64	0.04445
51.68	0.04486
51.72	0.04468
51.76	0.04454
51.8	0.04465
51.84	0.04478
51.88	0.04474
51.92	0.04466
51.96	0.04515
52.0	0.04408
52.04	0.04454
52.08	0.04445
52.12	0.04422
52.16	0.04437
52.2	0.04437
52.24	0.0446
52.28	0.04404
52.32	0.04431
52.36	0.04439
52.4	0.04456
52.44	0.04387
52.48	0.04419
52.52	0.04408
52.56	0.04425
52.6	0.0441
52.64	0.04413
52.68	0.04427
52.72	0.04381
52.76	0.0442
52.8	0.04411
52.84	0.04433
52.88	0.04414
52.92	0.04419
52.96	0.04431
53.0	0.04417
53.04	0.04465
53.08	0.04436
53.12	0.04459
53.16	0.04443
53.2	0.04454
53.24	0.04425
53.28	0.04443
53.32	0.04459
53.36	0.04445
53.4	0.04456
53.44	0.04463
53.48	0.04445
53.52	0.04466
53.56	0.04407
53.6	0.04422
53.64	0.04475
53.68	0.04468
53.72	0.04434
53.76	0.04468
53.8	0.04453
53.84	0.04437
53.88	0.04417
53.92	0.04411
53.96	0.04462
54.0	0.04434
54.04	0.04446
54.08	0.04449
54.12	0.04414
54.16	0.0448
54.2	0.04449
54.24	0.04427
54.28	0.04398
54.32	0.04489
54.36	0.04419
54.4	0.04453
54.44	0.04474
54.48	0.0441
54.52	0.04398
54.56	0.04393
54.6	0.04449
54.64	0.04417
54.68	0.04436
54.72	0.0443
54.76	0.04442
54.8	0.04404
54.84	0.04454
54.88	0.04407
54.92	0.04391
54.96	0.04437
55.0	0.04425
55.04	0.04436
55.08	0.04416
55.12	0.04445
55.16	0.04468
55.2	0.04445
55.24	0.04457
55.28	0.04434
55.32	0.04387
55.36	0.04431
55.4	0.04401
55.44	0.04425
55.48	0.04404
55.52	0.04405
55.56	0.04416
55.6	0.04414
55.64	0.04384
55.68	0.04431
55.72	0.0443
55.76	0.04434
55.8	0.0437
55.84	0.04396
55.88	0.04449
55.92	0.04446
55.96	0.04366
56.0	0.0443
56.04	0.04414
56.08	0.04457
56.12	0.0444
56.16	0.04401
56.2	0.04428
56.24	0.04466
56.28	0.0443
56.32	0.04419
56.36	0.04443
56.4	0.04491
56.44	0.04437
56.48	0.04431
56.52	0.04462
56.56	0.04472
56.6	0.04457
56.64	0.04445
56.68	0.04456
56.72	0.04434
56.76	0.04437
56.8	0.04469
56.84	0.04445
56.88	0.04491
56.92	0.04491
56.96	0.04497
57.0	0.04491
57.04	0.04456
57.08	0.04488
57.12	0.04443
57.16	0.04454
57.2	0.04443
57.24	0.04436
57.28	0.04414
57.32	0.04399
57.36	0.04425
57.4	0.04439
57.44	0.04417
57.48	0.0444
57.52	0.04443
57.56	0.04422
57.6	0.04407
