Light Intensity (% of scale max) Alessio_0.04_1.0_lampada	Position (m) Alessio_0.04_1.0_lampada
0.14236	-0.114287
0.14148	-0.114287
0.14043	-0.114287
0.13748	-0.114346
0.13527	-0.114385
0.1368	-0.114484
0.14983	-0.11476
0.17372	-0.115233
0.17577	-0.115273
0.18799	-0.115648
0.19997	-0.116022
0.20273	-0.116417
0.19679	-0.117048
0.18585	-0.117383
0.17578	-0.117758
0.15033	-0.118449
0.13898	-0.118744
0.1313	-0.118961
0.12178	-0.119356
0.1176	-0.119494
0.11781	-0.119514
0.1149	-0.119514
0.11459	-0.119494
0.11501	-0.119494
0.1143	-0.119494
0.11453	-0.119494
0.11424	-0.119494
0.11476	-0.119494
0.11436	-0.119494
0.11403	-0.119514
0.11484	-0.119514
0.11398	-0.119514
0.1131	-0.119514
0.11147	-0.119612
0.101	-0.120224
0.09425	-0.120756
0.09122	-0.120954
0.08873	-0.121171
0.08475	-0.121467
0.08029	-0.121802
0.07993	-0.12192
0.07568	-0.122236
0.0708	-0.12265
0.06564	-0.122966
0.06036	-0.123301
0.0545	-0.123636
0.05167	-0.123774
0.05101	-0.123774
0.05154	-0.123774
0.05092	-0.123715
0.05115	-0.123715
0.05081	-0.123715
0.05078	-0.123715
0.05074	-0.123715
0.05089	-0.123715
0.05099	-0.123715
0.05171	-0.123774
0.05196	-0.123774
0.05138	-0.123774
0.04893	-0.123912
0.04134	-0.124465
0.03868	-0.124642
0.03525	-0.125056
0.03264	-0.125668
0.03217	-0.125905
0.03198	-0.126141
0.033	-0.126654
0.03374	-0.126911
0.03662	-0.127345
0.03934	-0.127719
0.04095	-0.127936
0.04509	-0.128291
0.0481	-0.128548
0.05005	-0.128646
0.05048	-0.128666
0.05037	-0.128646
0.05049	-0.128587
0.05043	-0.128528
0.05061	-0.128469
0.05043	-0.128469
0.05055	-0.128469
0.0508	-0.128469
0.05069	-0.128548
0.05016	-0.128568
0.05392	-0.128765
0.06508	-0.129534
0.06967	-0.129869
0.0728	-0.130146
0.07423	-0.13052
0.07433	-0.130599
0.07336	-0.131033
0.07291	-0.131132
0.07124	-0.131507
0.06975	-0.13196
0.06905	-0.132118
0.06923	-0.132434
0.06999	-0.132631
0.07138	-0.133045
0.07448	-0.133499
