Time (s) rumore_ambientale_candela	Light Intensity (% of scale max) rumore_ambientale_candela
30.48	3.79558
30.52	3.74397
30.56	3.71118
30.6	3.74991
30.64	3.80008
30.68	3.77701
30.72	3.72888
30.76	3.67738
30.8	3.72287
30.84	3.78299
30.88	3.78746
30.92	3.74448
30.96	3.69131
31.0	3.69122
31.04	3.74161
31.08	3.77155
31.12	3.73611
31.16	3.68898
31.2	3.66496
31.24	3.71347
31.28	3.76108
31.32	3.7408
31.36	3.69135
31.4	3.64633
31.44	3.68333
31.48	3.73627
31.52	3.73628
31.56	3.69125
31.6	3.63588
31.64	3.6541
31.68	3.69391
31.72	3.69637
31.76	3.62433
31.8	3.56378
31.84	3.55188
31.88	3.60469
31.92	3.65421
31.96	3.63338
32.0	3.58499
32.04	3.54181
32.08	3.58563
32.12	3.63994
32.16	3.64006
32.2	3.59752
32.24	3.54553
32.28	3.57507
32.32	3.62361
32.36	3.65277
32.4	3.61722
32.44	3.56622
32.48	3.56335
32.52	3.60966
32.56	3.65857
32.6	3.63284
32.64	3.58774
32.68	3.55353
32.72	3.60268
32.76	3.65733
32.8	3.64792
32.84	3.60576
32.88	3.55412
32.92	3.59125
32.96	3.65137
33.0	3.66214
33.04	3.62289
33.08	3.57153
33.12	3.58864
33.16	3.63715
33.2	3.67059
33.24	3.6337
33.28	3.58342
33.32	3.55991
33.36	3.60355
33.4	3.64993
33.44	3.62935
33.48	3.5826
33.52	3.54263
33.56	3.59004
33.6	3.65094
33.64	3.64832
33.68	3.60533
33.72	3.55171
33.76	3.58005
33.8	3.63701
33.84	3.65311
33.88	3.61298
33.92	3.55685
33.96	3.55363
34.0	3.59734
34.04	3.63606
34.08	3.60042
34.12	3.54243
34.16	3.50009
34.2	3.53059
34.24	3.57298
34.28	3.56845
34.32	3.52736
34.36	3.48048
34.4	3.49373
34.44	3.53883
34.48	3.57484
34.52	3.55357
34.56	3.50797
34.6	3.46968
34.64	3.51329
34.68	3.55737
34.72	3.56903
34.76	3.5287
34.8	3.47842
34.84	3.47267
34.88	3.50545
34.92	3.55334
34.96	3.53201
35.0	3.49005
35.04	3.43745
35.08	3.46243
35.12	3.51112
35.16	3.54881
35.2	3.52257
35.24	3.48108
35.28	3.45517
35.32	3.48947
35.36	3.54219
35.4	3.55205
35.44	3.51555
35.48	3.47215
35.52	3.47116
35.56	3.50641
35.6	3.55563
35.64	3.53566
35.68	3.49402
35.72	3.4454
35.76	3.47693
35.8	3.52162
35.84	3.55606
35.88	3.52249
35.92	3.4821
35.96	3.46152
36.0	3.49672
36.04	3.55193
36.08	3.55194
36.12	3.51268
36.16	3.46448
36.2	3.47229
36.24	3.52008
36.28	3.56827
36.32	3.54567
36.36	3.50345
36.4	3.468
36.44	3.4996
36.48	3.54745
36.52	3.56638
36.56	3.53024
36.6	3.48622
36.64	3.48033
36.68	3.51755
36.72	3.56714
36.76	3.55289
36.8	3.50908
36.84	3.46083
36.88	3.48811
36.92	3.53847
36.96	3.56934
37.0	3.54097
37.04	3.49551
37.08	3.46768
37.12	3.51302
37.16	3.55791
37.2	3.55769
37.24	3.51765
37.28	3.47128
37.32	3.49104
37.36	3.53564
37.4	3.58775
37.44	3.56508
37.48	3.52859
37.52	3.49664
37.56	3.53781
37.6	3.59166
37.64	3.59813
37.68	3.55876
37.72	3.52383
37.76	3.56238
37.8	3.632
37.84	3.66963
37.88	3.64127
37.92	3.59814
37.96	3.58711
38.0	3.6414
38.04	3.69633
38.08	3.68137
38.12	3.63875
38.16	3.60103
38.2	3.64114
38.24	3.6991
38.28	3.69684
38.32	3.65262
38.36	3.59891
38.4	3.62529
38.44	3.67078
38.48	3.7038
38.52	3.66893
38.56	3.61763
38.6	3.60081
38.64	3.6512
38.68	3.6965
38.72	3.67639
38.76	3.62814
38.8	3.59282
38.84	3.6329
38.88	3.69556
38.92	3.69339
38.96	3.65746
39.0	3.60727
39.04	3.63522
39.08	3.68405
39.12	3.70944
39.16	3.67207
39.2	3.6219
39.24	3.60954
39.28	3.65308
39.32	3.69043
39.36	3.65157
39.4	3.59294
39.44	3.50963
39.48	3.51152
39.52	3.53441
39.56	3.52568
39.6	3.49013
39.64	3.45984
39.68	3.47403
39.72	3.52063
39.76	3.56897
39.8	3.55493
39.84	3.51491
39.88	3.46893
39.92	3.50487
39.96	3.54883
40.0	3.5742
40.04	3.54297
40.08	3.49911
40.12	3.47856
40.16	3.50996
40.2	3.55879
40.24	3.54936
40.28	3.50694
40.32	3.45145
40.36	3.48795
40.4	3.54594
40.44	3.59717
40.48	3.57536
40.52	3.53769
40.56	3.50945
40.6	3.54297
40.64	3.59068
40.68	3.58736
40.72	3.53535
40.76	3.46133
40.8	3.47427
40.84	3.51524
40.88	3.55214
40.92	3.53362
40.96	3.49928
41.0	3.47574
41.04	3.51784
41.08	3.56937
41.12	3.58533
41.16	3.54521
41.2	3.49611
41.24	3.48975
41.28	3.52528
41.32	3.57129
41.36	3.5475
41.4	3.50357
41.44	3.46521
41.48	3.49989
41.52	3.55014
41.56	3.57408
41.6	3.53432
41.64	3.48674
41.68	3.47116
41.72	3.50487
41.76	3.55641
41.8	3.54501
41.84	3.50354
41.88	3.44267
41.92	3.47377
41.96	3.51228
42.0	3.54996
42.04	3.51595
42.08	3.47049
42.12	3.43863
42.16	3.4763
42.2	3.52708
42.24	3.53731
42.28	3.49982
42.32	3.45496
42.36	3.45187
42.4	3.49731
42.44	3.54762
42.48	3.53143
42.52	3.49141
42.56	3.44037
42.6	3.47008
42.64	3.51849
42.68	3.55151
42.72	3.52103
42.76	3.47684
42.8	3.45351
42.84	3.4865
42.88	3.54097
42.92	3.5444
42.96	3.50786
43.0	3.46217
43.04	3.46547
43.08	3.51192
43.12	3.55592
43.16	3.54097
43.2	3.49951
43.24	3.45262
43.28	3.47829
43.32	3.52647
43.36	3.55341
43.4	3.52159
43.44	3.47704
43.48	3.45401
43.52	3.48825
43.56	3.53979
43.6	3.54051
43.64	3.49916
43.68	3.4313
43.72	3.46312
43.76	3.49988
43.8	3.54977
43.84	3.52953
43.88	3.48769
43.92	3.45026
43.96	3.48296
44.0	3.5359
44.04	3.55865
44.08	3.52362
44.12	3.48093
44.16	3.46344
44.2	3.50963
44.24	3.55769
44.28	3.55057
44.32	3.51183
44.36	3.45129
44.4	3.4859
44.44	3.52769
44.48	3.56429
44.52	3.53798
44.56	3.49802
44.6	3.46587
44.64	3.50795
44.68	3.55591
44.72	3.56662
44.76	3.5305
44.8	3.45721
44.84	3.48575
44.88	3.52885
44.92	3.57018
44.96	3.55087
45.0	3.50613
45.04	3.46114
45.08	3.49681
45.12	3.54805
45.16	3.5683
45.2	3.53191
45.24	3.46027
45.28	3.47972
45.32	3.5217
45.36	3.56812
45.4	3.55664
45.44	3.51028
45.48	3.464
45.52	3.49953
45.56	3.54292
45.6	3.56783
45.64	3.53564
45.68	3.49084
45.72	3.46864
45.76	3.51082
45.8	3.55869
45.84	3.549
45.88	3.50624
45.92	3.44453
45.96	3.47865
46.0	3.51932
46.04	3.55692
46.08	3.53214
46.12	3.49301
46.16	3.46057
46.2	3.495
46.24	3.54692
46.28	3.55319
46.32	3.51552
46.36	3.45584
46.4	3.47566
46.44	3.51898
46.48	3.56754
46.52	3.5517
46.56	3.51198
46.6	3.46283
46.64	3.50279
46.68	3.55252
46.72	3.57047
46.76	3.53554
46.8	3.46161
46.84	3.47565
