Relative Intensity Alessio_0.16_0.5_lampadina	Position (m) Alessio_0.16_0.5_lampadina
6.9645081	-0.0998874
6.870224	-0.0998874
6.7982483	-0.0998874
6.8132477	-0.09986768
6.8468475	-0.09986768
6.7934113	-0.09986768
6.804657	-0.09986768
6.7249146	-0.09986768
6.736145	-0.09986768
6.7908325	-0.09986768
6.7845154	-0.09986768
6.8076324	-0.09986768
6.8499146	-0.0998874
6.897934	-0.0998874
6.90242	-0.0998874
6.3707428	-0.09998603
3.1842957	-0.10053833
1.7464905	-0.10079475
1.3198242	-0.10095255
0.8645477	-0.10105118
0.576355	-0.1011498
0.1735382	-0.10144568
0.0904999	-0.1018599
0.2727051	-0.1022544
0.4356689	-0.10247138
0.4712677	-0.10251083
0.5865631	-0.10268835
0.7512817	-0.10294478
0.8069305	-0.1030434
0.8822784	-0.10333928
0.9028625	-0.1035168
0.8968964	-0.10357598
0.8606415	-0.10373378
0.8475647	-0.10379295
0.8451233	-0.10379295
0.8426819	-0.10379295
0.8386841	-0.10379295
0.8413544	-0.10379295
0.8370819	-0.10379295
0.8403473	-0.10379295
0.8394012	-0.10379295
0.8440552	-0.10379295
0.8457184	-0.10379295
0.8458099	-0.10379295
0.8449707	-0.10379295
0.8455048	-0.10379295
0.8470917	-0.10379295
0.8487396	-0.10379295
0.8464813	-0.10379295
0.8223572	-0.10387185
0.4846802	-0.10456223
0.2948914	-0.1048581
0.2330627	-0.1050159
0.0730896	-0.1054893
0.0512543	-0.10560765
0.0417328	-0.10592325
0.0638275	-0.1061205
0.079422	-0.10621913
0.144165	-0.10653473
0.2175598	-0.10681088
0.2589722	-0.1069884
0.3134003	-0.10732373
0.3358307	-0.10756043
0.3444519	-0.1076985
0.3282623	-0.10797465
0.2972107	-0.1081719
0.2819824	-0.10823108
0.2476501	-0.1083297
0.2120972	-0.10850723
0.1556854	-0.10876365
0.1501312	-0.10878338
0.1498871	-0.10878338
0.1510925	-0.10876365
0.1497498	-0.10874393
0.1504211	-0.10874393
0.1503906	-0.10874393
0.1494141	-0.10874393
0.1484985	-0.10874393
0.1503601	-0.10874393
0.1515656	-0.10874393
0.151825	-0.10874393
0.1543121	-0.10876365
0.1532745	-0.10878338
0.1529846	-0.10878338
0.1536713	-0.10878338
0.124649	-0.10890173
0.1092682	-0.10898063
0.0687103	-0.10921733
0.041153	-0.10949348
0.0515747	-0.1099077
0.0987549	-0.11028248
0.1450195	-0.11055863
0.1803589	-0.11079533
0.2119446	-0.1110912
0.2193756	-0.11138708
0.2002106	-0.11174213
0.1937256	-0.11182103
0.1595612	-0.11209718
0.1399994	-0.11223525
0.0943604	-0.1125903
0.0701904	-0.11272838
0.0596161	-0.11284673
0.0471649	-0.11296508
0.0425568	-0.11300453
0.0423889	-0.11300453
0.043045	-0.1129848
0.0418396	-0.11296508
0.0427551	-0.11296508
0.0429382	-0.11296508
0.0426788	-0.11296508
0.0430756	-0.11296508
0.0429077	-0.11296508
0.0431824	-0.11296508
0.0425873	-0.11296508
0.0427704	-0.11296508
0.0435791	-0.11296508
0.0433655	-0.1129848
0.0423889	-0.1129848
0.0427246	-0.1129848
0.0420837	-0.11300453
0.0343933	-0.11320178
0.043808	-0.11379353
0.0575867	-0.1140105
0.073288	-0.11422748
0.0862427	-0.114405
0.0939331	-0.11452335
0.1127014	-0.11489813
0.116745	-0.11501648
0.1204987	-0.11521373
0.1125946	-0.11570685
0.0991821	-0.11596328
0.0929413	-0.1160619
0.0911865	-0.11610135
0.0773468	-0.11635778
0.0486298	-0.1168509
0.0413208	-0.11694953
0.0385437	-0.11702843
0.0315552	-0.11744265
0.0357819	-0.11777798
0.0434113	-0.11797523
0.0472717	-0.1180344
0.0480652	-0.1180344
0.0487518	-0.11799495
0.0488281	-0.11799495
0.0480957	-0.11799495
0.0480957	-0.11799495
0.0485535	-0.11799495
0.0484924	-0.11799495
0.0489807	-0.11799495
0.0484619	-0.11799495
0.0485382	-0.11799495
0.0484161	-0.11801468
0.0478973	-0.11801468
0.0478058	-0.11801468
0.0479431	-0.1180344
0.0481415	-0.1180344
0.0501099	-0.11807385
0.0556641	-0.11817248
0.0734863	-0.11848808
0.0794373	-0.11856698
0.0806274	-0.1185867
0.088913	-0.11872478
0.098465	-0.11892203
0.1041107	-0.11909955
0.1055298	-0.1194546
0.1042328	-0.11951378
0.0957642	-0.1197702
0.0758057	-0.12010553
0.0735474	-0.12012525
0.0653839	-0.12028305
0.0536499	-0.12046058
0.0530243	-0.12046058
0.0478668	-0.1205592
0.0428467	-0.12065783
0.0391541	-0.12075645
0.0354156	-0.12085508
0.0336151	-0.1209537
0.0314331	-0.12107205
0.0312805	-0.12136793
0.0326233	-0.12146655
0.0337982	-0.121506
0.0349731	-0.12156518
0.0351257	-0.12156518
0.0354004	-0.12156518
0.0353088	-0.12154545
0.0353088	-0.12152573
0.0349731	-0.12152573
0.0351257	-0.12152573
0.0356445	-0.12152573
0.0351563	-0.12152573
0.0350494	-0.12152573
0.0346375	-0.12152573
0.0346527	-0.12152573
0.0342255	-0.12154545
0.0348358	-0.12156518
0.0348206	-0.12156518
0.0348511	-0.12156518
0.0449677	-0.1221372
0.0632324	-0.12259088
0.0655212	-0.12265005
0.0667877	-0.12286703
0.0692139	-0.12312345
0.0687714	-0.12334043
0.0652008	-0.1237152
0.056076	-0.12407025
0.050293	-0.12432668
0.0418396	-0.12464228
0.0386047	-0.1247409
0.0370331	-0.12483953
0.034256	-0.12509595
0.0338745	-0.12515513
0.0341644	-0.12525375
0.0380554	-0.12562853
0.0421143	-0.12572715
0.04599	-0.12586523
0.0524445	-0.12602303
0.0529938	-0.12602303
0.0528717	-0.12602303
0.0528107	-0.1260033
0.0528717	-0.12594413
0.0532227	-0.12594413
0.0529633	-0.12594413
0.0525818	-0.12594413
0.0528107	-0.12594413
0.0526886	-0.12594413
0.0527039	-0.12594413
0.0524597	-0.12594413
0.0527802	-0.1260033
0.0530701	-0.12602303
0.0528259	-0.12602303
0.0529175	-0.12602303
0.064682	-0.12643725
0.075592	-0.12708818
0.0685425	-0.12746295
0.0587006	-0.1277391
0.0541077	-0.12787718
0.046814	-0.12807443
0.0418549	-0.12825195
0.035614	-0.12850838
0.0316772	-0.12870563
0.0313721	-0.12878453
0.0293427	-0.1290804
0.029541	-0.12913958
0.0295563	-0.12921848
0.0308228	-0.12945518
0.0310974	-0.1294749
0.0309601	-0.1294749
0.0311432	-0.12945518
