Time (s) intensità_laser_sole	Light Intensity (% of scale max) intensità_laser_sole
59.36	35.27216
59.4	35.27527
59.44	35.26387
59.48	35.27165
59.52	35.2729
59.56	35.26964
59.6	35.26933
59.64	35.27464
59.68	35.2717
59.72	35.27158
59.76	35.26845
59.8	35.26735
59.84	35.27306
59.88	35.26939
59.92	35.2692
59.96	35.27028
60.0	35.27139
60.04	35.26738
60.08	35.26865
60.12	35.26953
60.16	35.27339
60.2	35.26756
60.24	35.26814
60.28	35.26683
60.32	35.27048
60.36	35.267
60.4	35.26642
60.44	35.26959
60.48	35.26839
60.52	35.27203
60.56	35.267
60.6	35.26762
60.64	35.27179
60.68	35.26889
60.72	35.27101
60.76	35.26523
60.8	35.267
60.84	35.26381
60.88	35.26659
60.92	35.26579
60.96	35.2668
61.0	35.26529
61.04	35.26747
61.08	35.26886
61.12	35.27126
61.16	35.26628
61.2	35.25021
61.24	35.26735
61.28	35.26645
61.32	35.26186
61.36	35.26843
